productName,productDescription,productPartNumber,productManufacturer,productNormalPrice,productSellingPrice
"Computer Power Extension Cord","Tripp Lite Heavy-Duty Computer Power Extension Cord for Servers and Computers 20A, 12AWG (IEC-320-C14 to IEC-320-C21) 6-ft.(P036-006) Color Black Brand Tripp Lite Connector Gender Male-to-Female Voltage 250 Volts Input Current 20 Amps About this item C14 to C21 Power Cable, 6ft 12AWG x 3C, 20 Amp Rated","P036-006","Tripp Lite","8.00","12.00"
"Samsung Galax Tab A9+ (Wifi)","Samsung Galaxy Tab A9+ (WiFi) | Display Size: 11 inches )| CPU Type: Octa-core | CPU Speed: 2.2GHz, 2GHz | OS: Android | Video Playing Resolution: FHD (1920 x 1080)@60fps | Internal Storage: 64GB | RAM: 4GB | External Storage Support: MicroSD (Up to 1TB) | Rear Camera: 8 MP (Auto Focus) | Front Camera: 2 MP | Earjack: 3.5mm Stereo | Battery: Li-Po 5100 mAh, Non-removable | Wi-Fi: 802.11 2.4G + 5GHz, VHT80 | USB Version: USB Type-C 2.0+E33+E64","SM-X210NZAAAFA","Samsung","180.00","250.00"
"Brother Tzempgg31","Black on Gold Plastic tap 12mm x 8m","TZEMPGG31","Brother","30.00","45.00"
"Lenovo 300 wireless mouse","BrandLenovo SeriesLenovo ThinkPad Essential Wireless Mouse - Black 4X30M56887 Item model number4X30M56887 Item Weight2.11 ounces Product Dimensions1.97 x 1.97 x 0.04 inches Item Dimensions LxWxH1.97 x 1.97 x 0.04inches ColorBlack Number of Processors1Computer Memory TypeDIMM Power SourceBattery PoweredBatteries1 A batteries required. (included)ManufacturerLenovo","GX30K7940","Lenovo","10.00","40.00"
"Targus CN600","Laptop Compatibility – Up to 15.6"" | Compartments – Dedicated laptopsection,multiple pockets for organization | Material – Durable polyester|Dimensions –Approx. 18 x 12 x 6 inches | Weight – ~1 lb | Straps – Padded, adjustable shoulder straps | Color – Black","CN600","Targus","20.00","45.00"
"Brother PT-E110VP","Maximum tape width (mm): 12 | Usage type: Industrial | Alkaline batteries: 6 x AAA (LR03/HR03) | Cutter type: Full | Display: LCD | Display size: 16 characters x 1 line - 58mm x 23mm | Housing colour: Orange and Black | Keyboard type: QWERTY | Languages: English, German, French, Spanish, Portuguese, Italian, Dutch, Danish, Norwegian, Swedish, Finnish, Hungarian, Czech, Polish, Romanian, Slovenian, Slovakian, Croatian, Turkish, Brazilian Portuguese | Technology: Thermal transfer | General Supplies Width: 3.5, 6, 9, 12mm | Type: TZe Tape | Dimensions & weights - Dimensions: 111 (W) x 204 (H) x 58 (D) mm | Weight: 0.400 kg | In the box - AC adaptor: Yes | Carry case: Yes | Tape cassettes: 9mm black on white flexible ID TZe tape (8m) | User guide: Yes | Warranty card: Yes | Label design - Fonts: 1 | Text alignment: Centre, Left | Text sizes: 3 | Text styles: 10 | Text widths: 2x, 1/2, Normal | Underline: Yes | Vertical printing: Yes","PT-E110VP","Brother","3.00","130.00"
"HP LaserJet Pro MFP 4103dw Printer (2Z627A)","Functions: Print, copy, scan. Print Speed Black (ISO): Up to 42 ppm (Letter), Up to 40 ppm (A4). First Page Out Black (Ready): As fast as 6.1 sec (Letter), 6.3 sec (A4). First Page Out Color (Ready): Measured using ISO/IEC 17629. Duplex Printing: Automatic (default). Duty Cycle (Monthly): Up to 80,000 pages (A4/Letter). Recommended Monthly Page Volume: 750 to 4,000 pages. Print Quality Black (Best): Fine Lines (1200 x 1200 dpi). Print Languages: HP PCL 6, HP PCL 5e, HP PostScript Level 3 emulation, PDF, URF, Native Office, PWG Raster. Print Technology: Laser. Connectivity & Standard: 1 Front USB port; 1 Gigabit Ethernet 10/100/1000 Base-T network; 1 Hi-Speed USB 2.0 (host); 1 Wi-Fi 802.3az; 802.11b/g/n (2.4 GHz) Wi-Fi radio. Mobile Printing Capability: HP Smart App; Apple AirPrint™; Mopria™ Certified; Wi-Fi® Direct Printing. Network Capabilities: Yes, via built-in 10/100Base-TX Ethernet, Gigabit; Auto-crossover Ethernet; Authentication via 802.1X. Minimum System Requirements (Macintosh): 2 GB available hard drive space; Internet connection or USB port; Internet browser (see apple.com for additional requirements). Minimum System Requirements (Windows): 2 GB available hard disk space; Internet connection or USB port; Internet browser (see microsoft.com for additional requirements). Display: 2.7"" (6.86 cm) intuitive color touchscreen (CGD). Processor Speed: 1200 MHz. Memory: 512 MB (Maximum: 512 MB). Internal Storage: No (Optional Job Storage via external rear host USB port, minimum 16 GB). Compatible Operating Systems: Windows 11; Windows 10; Windows Client OS; Android; iOS; Mobile OS; macOS 10.15 Catalina; macOS 11 Big Sur; macOS 12 Monterey; macOS 13 Ventura; macOS 15 Sequoia; Chrome OS. Paper Handling Input (Standard): 100-sheet tray 1, 250-sheet input tray 2; 50-sheet Automatic Document Feeder (ADF). Paper Handling Output (Standard): 150-sheet output bin.","2Z627A","HP","0.00","650.00"
"Lenovo ThinkPad T16 Gen 3","Processor: Intel® Core™ Ultra 7 165U vPro® Processor (E-cores up to 3.80 GHz, P-cores up to 4.90 GHz). Operating System: Windows 11 Pro 64. Graphic Card: Integrated Intel® Graphics. Memory: 32 GB DDR5-5600MHz (SODIMM)(2 x 16 GB). Storage: 1 TB SSD M.2 2280 PCIe Gen4 Performance TLC Opal. Display: 16"" WUXGA (1920 x 1200), IPS, Anti-Glare, Touch, 45%NTSC, 300 nits, 60Hz. Camera: 5MP RGB+IR with Dual Microphone and Privacy Shutter. Battery: 4 Cell Li-Polymer 86 Wh. AC Adapter and Power Supply: 100W. Fingerprint Reader: Yes. Keyboard: Backlit, Black with Number Pad - English (US). WIFI: Intel® Wi-Fi 6E AX211 2x2 AX vPro® & Bluetooth® 5.1 (Windows 10) or Bluetooth® 5.3 (Windows 11). Warranty: Three Year Onsite. Color: Black.","21MQS5KL00","Lenovo","0.00","1540.00"
"Levono ThinkVision S27i-30 (H23270FS0)","Screen Size: 27 inch. Brightness: 300 cd/㎡ (typical). Aspect Ratio: 16:9. Contrast Ratio: 1300:1. Backlight: WLED. Response Time: 4ms (Extreme Mode), 6ms (Normal Mode). Panel Type: In-Plane Switching. Viewing Angle: 178° / 178°. Stand: Tilt (-5° / 22°). Power Requirement: 100 - 240 VAC, 40 - 60 Hz. Energy Star: 8.0. Brand: ThinkVision. Included Accessory: HDMI cable. Color Coverage: 99% sRGB. Color Depth: 8-bit. Color Support: 16.7 Million. Dimensions without Package: 184.9 x 475.0 x 612.3 mm (7.28 x 18.70 x 24.11 inches). Eye Caring: Yes. Head-only Dimensions: 43.5 x 368.0 x 612.3 mm (1.71 x 14.49 x 24.11 inches). Kensington Lock: Yes. Near Edgeless: 3-side NearEdgeless. Power Consumption: 19.5W typ / 36.0W max. TCO Edge: 2.0. Weight Head Only: 3.6 kg / 7.9 lbs. Weight with Package: 6.9 kg / 15.2 lbs. Weight without Package: 4.5 kg / 9.9 lbs. Maximum Resolution: 1920 x 1080. Connection Type: 2 x HDMI1.4, 1 x VGA, 1 x Audio Out (3.5mm). Warranty: 3 years limited. Resolution: 1920 x 1080. Refresh Rate: 100 Hz.","63DFKAT4","Lenovo","20.00","240.00"
"Lenovo ThinkCentre M90T Gen 5","Processor: 14th Generation Intel® Core™ i7-14700 vPro® Processor (E-cores up to 4.20 GHz, P-cores up to 5.30 GHz). Operating System: Windows 11 Pro 64. Graphic Card: Integrated Intel® UHD Graphics 770. Memory: 32 GB DDR5-4400MHz (UDIMM)(2 x 8 GB). Storage: 512 GB SSD M.2 2280 PCIe Gen4 TLC Opal. Optical Drive: Slim Ultrabay DVD-RW. AC Adapter / Power Supply: 300W. Pointing Device: USB Calliope Mouse (Black). Keyboard: USB, Traditional, Black - English (US). Networking: Integrated Ethernet. WIFI: Intel® Wi-Fi 6E AX211 2x2 AX vPro® & Bluetooth® 5.3. Graphic Card: Integrated Intel® Graphics","12V1S1SF00","Lenovo","30.00","1740.00"
